"segment_hash","repits","segment_size"
df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,7714,4
ccd6c7f350a3fba172643c3f4fd8c0dd4d26a594e0420ba641124d1d6eea0608,251,4
"4f22d4ae858058f95323eddf3154523093ef99d8d4811bd1da870876141789b6",251,4
"7370bed9355d308a47b6711135e981e04e445837153f33a2284d2b2a0b949608",248,4
"762e3223bedbec50976e5c3587ad556cfb38f0ce932a87dc6d2cad944fc2e9f1",199,4
"064a75343ddb1ef84626a5d3d2089a0a5b0398f4379449ed036c2d050cd19826",195,4
"3266d2f428d53cd9a1b1464cd5c01246b83468c39cb08549ec01a99025993282",188,4
"83440636eff7b2ec0f78ef7b8e480a033e8aeb67e6ecb657ce9bcdfdb21aa744",95,4
"9bebc47eada08a45423a457d12347ad5f8f359434f0c564f6b5a2b28b2dc8120",91,4
dc765660b06ee03dd16fd7ca5b957e8c805161ac2c4af28c5a100ab2ab432ca1,82,4
"68345cf4bea01a2579ee9e71d042397bc74b4f1710a2f400b2018632770338ce",82,4
cbfd218787df784c39fbc4f4fad92a8f28e2a880430c210b6d0d8dc133c07e66,78,4
e835a7a0ec5a246b1843042f353b5aa6494e3f256419c3d687af2f71b08d95f8,67,4
"8e996724a4b7bc0e76fe0987e1fe5f1e1402c2854fa83ac8377917d928e8267e",65,4
"5f32f9caa7c06998010ca19ca080dca8cd61a02166a25a9e16f1bc7ed9a31fe6",63,4
"780e4aaf5390131765db1880eceec730cee6e1cf861e936fb402c9b60130fc58",62,4
"140a948d4012c3cb52b8ad13c830e2b306b1142c26abbfd127e1be8c27768c62",60,4
"35422d37f7184611f6e4646d1819534a273aacc6c66fd66d616966e63daadc0b",56,4
"98c1eb4ee93476743763878fcb96a25fbc9a175074d64004779ecb5242f645e6",53,4
ec5a872c54df717cdb72fe4ddc84d6cc180de1699825467fc9af73e2a75bf4ea,48,4
